# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
1140 10 0.534815 1.1 11 9.3e-06 0.008252
1150 10 0.54783 1 13.5 8.2e-06 0.008334
1160 10 0.54783 1.1 15 9.6e-06 0.00843
1170 10 0.54783 1 14.6 8.6e-06 0.008516
1180 10 0.550756 1.1 13.8 1.15e-05 0.008631
1190 10 0.55746 1 8.3 8.2e-06 0.008713
1200 10 0.55746 1.7 26.2 2.8e-05 0.008993
1210 10 0.55746 1 18.2 8.6e-06 0.009079
1220 10 0.565995 1 16 1.03e-05 0.009182
1230 10 0.565995 1 11.8 7e-06 0.009252
1240 10 0.565995 1.2 18.7 1.53e-05 0.009405
1250 10 0.565995 1.1 16.6 1.12e-05 0.009517
1260 10 0.565995 1.1 17.7 9.8e-06 0.009615
1270 10 0.565995 1.1 16.1 1.03e-05 0.009718
1280 10 0.565995 1 18.3 1.01e-05 0.009819
1290 10 0.569919 1.1 12.3 1.21e-05 0.00994
1300 10 0.57519 1.2 14.8 1.44e-05 0.010084
1310 10 0.57519 1.1 14.5 9.7e-06 0.010181
1320 10 0.57519 1 12.4 8.9e-06 0.01027
1330 10 0.57519 1 18.1 1.16e-05 0.010386
1340 10 0.57519 1.2 15 1.46e-05 0.010532
1350 10 0.57519 1 16.2 1.35e-05 0.010667
1360 10 0.582644 1 11.6 7.1e-06 0.010738
1370 10 0.590564 1.1 17.8 1.22e-05 0.01086
1380 10 0.597234 1.1 18 1.17e-05 0.010977
1390 10 0.597234 1 18.8 1.24e-05 0.011101
1400 10 0.606257 1.3 26 2.04e-05 0.011305
1410 10 0.614601 1 14.8 8.7e-06 0.011392
1420 10 0.614601 1.1 16.6 1.62e-05 0.011554
1430 10 0.622678 1.1 16.2 5.68e-05 0.012122
1440 10 0.632048 1.1 14.5 1.47e-05 0.012269
1450 10 0.636822 1 23 1.37e-05 0.012406
1460 10 0.643854 1.2 19.3 1.74e-05 0.01258
1470 10 0.654022 1.2 17 1.49e-05 0.012729
1480 10 0.654022 1.1 15.5 1.53e-05 0.012882
1490 10 0.654022 1.1 16.6 1.77e-05 0.013059
1500 10 0.654022 1 9.9 9.3e-06 0.013152
1510 10 0.662958 1.2 21.4 1.89e-05 0.013341
